Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Asturias;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2018;9,5
Asturias;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2017;6,4
Asturias;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2016;5,6
Asturias;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2015;6,9
Asturias;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2014;6,5
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2019;4,5
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2018;5,9
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2017;6,4
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2016;6,1
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2015;6,5
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2014;5,9
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2019;..
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2018;..
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2017;..
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2016;..
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2015;..
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2014;..
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2019;3,6
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2018;4,9
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2017;4,8
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2016;4,7
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2015;5,3
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2014;4,6
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2019;0,9
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2018;0,9
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2017;1,6
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2016;1,4
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2015;1,2
Asturias;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2014;1,2
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2019;18,6
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2018;16,2
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2017;17,7
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2016;20,4
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2015;21,0
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2014;25,0
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2019;..
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2018;..
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2017;..
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2016;..
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2015;0,1
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2014;0,1
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2019;13,6
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2018;13,3
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2017;14,0
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2016;15,6
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2015;16,5
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2014;19,3
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2019;5,0
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2018;2,9
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2017;3,7
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2016;4,8
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2015;4,4
Asturias;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2014;5,6
Asturias;Personas que no forman ningún núcleo familiar entre sí;Total;2019;11,3
Asturias;Personas que no forman ningún núcleo familiar entre sí;Total;2018;13,1
Asturias;Personas que no forman ningún núcleo familiar entre sí;Total;2017;10,0
Asturias;Personas que no forman ningún núcleo familiar entre sí;Total;2016;11,4
Asturias;Personas que no forman ningún núcleo familiar entre sí;Total;2015;11,8
Asturias;Personas que no forman ningún núcleo familiar entre sí;Total;2014;11,4
Asturias;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2019;..
Asturias;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2018;..
Asturias;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2017;..
Asturias;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2016;..
Asturias;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2015;..
Asturias;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2014;0,1
Asturias;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2019;10,3
Asturias;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2018;11,4
Asturias;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2017;9,0
Asturias;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2016;10,1
Asturias;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2015;10,2
Asturias;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2014;9,7
Asturias;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2019;0,9
Asturias;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2018;1,7
Asturias;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2017;1,1
Asturias;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2016;1,3
Asturias;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2015;1,6
Asturias;Personas que no forman ningún núcleo familiar entre sí;7 o más habitaciones;2014;1,6
Asturias;Dos o más núcleos familiares;Total;2019;7,6
Asturias;Dos o más núcleos familiares;Total;2018;8,1
Asturias;Dos o más núcleos familiares;Total;2017;8,7
Asturias;Dos o más núcleos familiares;Total;2016;8,3
Asturias;Dos o más núcleos familiares;Total;2015;7,8
Asturias;Dos o más núcleos familiares;Total;2014;7,3
Asturias;Dos o más núcleos familiares;Menos de 3 habitaciones;2019;..
Asturias;Dos o más núcleos familiares;Menos de 3 habitaciones;2018;..
Asturias;Dos o más núcleos familiares;Menos de 3 habitaciones;2017;..
Asturias;Dos o más núcleos familiares;Menos de 3 habitaciones;2016;..
Asturias;Dos o más núcleos familiares;Menos de 3 habitaciones;2015;..
Asturias;Dos o más núcleos familiares;Menos de 3 habitaciones;2014;..
Asturias;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2019;4,6
Asturias;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2018;5,4
Asturias;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2017;5,8
Asturias;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2016;5,3
Asturias;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2015;5,0
Asturias;Dos o más núcleos familiares;Entre 3 y 6 habitaciones;2014;4,7
Asturias;Dos o más núcleos familiares;7 o más habitaciones;2019;2,9
Asturias;Dos o más núcleos familiares;7 o más habitaciones;2018;2,7
Asturias;Dos o más núcleos familiares;7 o más habitaciones;2017;2,9
Asturias;Dos o más núcleos familiares;7 o más habitaciones;2016;2,9
Asturias;Dos o más núcleos familiares;7 o más habitaciones;2015;2,9
Asturias;Dos o más núcleos familiares;7 o más habitaciones;2014;2,6
Ávila;Total (tipo de hogar);Total;2019;66,1
Ávila;Total (tipo de hogar);Total;2018;66,2
Ávila;Total (tipo de hogar);Total;2017;66,8
Ávila;Total (tipo de hogar);Total;2016;67,5
Ávila;Total (tipo de hogar);Total;2015;68,0
Ávila;Total (tipo de hogar);Total;2014;68,2
Ávila;Total (tipo de hogar);Menos de 3 habitaciones;2019;0,3
Ávila;Total (tipo de hogar);Menos de 3 habitaciones;2018;0,3
Ávila;Total (tipo de hogar);Menos de 3 habitaciones;2017;0,2
Ávila;Total (tipo de hogar);Menos de 3 habitaciones;2016;0,2
Ávila;Total (tipo de hogar);Menos de 3 habitaciones;2015;0,3
Ávila;Total (tipo de hogar);Menos de 3 habitaciones;2014;0,3
Ávila;Total (tipo de hogar);Entre 3 y 6 habitaciones;2019;52,8
Ávila;Total (tipo de hogar);Entre 3 y 6 habitaciones;2018;56,3
Ávila;Total (tipo de hogar);Entre 3 y 6 habitaciones;2017;58,4
Ávila;Total (tipo de hogar);Entre 3 y 6 habitaciones;2016;56,6
Ávila;Total (tipo de hogar);Entre 3 y 6 habitaciones;2015;53,1
Ávila;Total (tipo de hogar);Entre 3 y 6 habitaciones;2014;51,1
Ávila;Total (tipo de hogar);7 o más habitaciones;2019;13,0
Ávila;Total (tipo de hogar);7 o más habitaciones;2018;9,6
Ávila;Total (tipo de hogar);7 o más habitaciones;2017;8,2
Ávila;Total (tipo de hogar);7 o más habitaciones;2016;10,7
Ávila;Total (tipo de hogar);7 o más habitaciones;2015;14,6
Ávila;Total (tipo de hogar);7 o más habitaciones;2014;16,8
Ávila;Hogar unipersonal;Total;2019;19,5
Ávila;Hogar unipersonal;Total;2018;19,2
Ávila;Hogar unipersonal;Total;2017;19,3
Ávila;Hogar unipersonal;Total;2016;19,5
Ávila;Hogar unipersonal;Total;2015;19,4
Ávila;Hogar unipersonal;Total;2014;19,3
Ávila;Hogar unipersonal;Menos de 3 habitaciones;2019;0,1
Ávila;Hogar unipersonal;Menos de 3 habitaciones;2018;0,3
Ávila;Hogar unipersonal;Menos de 3 habitaciones;2017;0,2
Ávila;Hogar unipersonal;Menos de 3 habitaciones;2016;0,2
Ávila;Hogar unipersonal;Menos de 3 habitaciones;2015;0,3
Ávila;Hogar unipersonal;Menos de 3 habitaciones;2014;0,3
Ávila;Hogar unipersonal;Entre 3 y 6 habitaciones;2019;16,9
Ávila;Hogar unipersonal;Entre 3 y 6 habitaciones;2018;16,3
Ávila;Hogar unipersonal;Entre 3 y 6 habitaciones;2017;17,1
Ávila;Hogar unipersonal;Entre 3 y 6 habitaciones;2016;17,7
Ávila;Hogar unipersonal;Entre 3 y 6 habitaciones;2015;16,2
Ávila;Hogar unipersonal;Entre 3 y 6 habitaciones;2014;15,5
Ávila;Hogar unipersonal;7 o más habitaciones;2019;2,5
Ávila;Hogar unipersonal;7 o más habitaciones;2018;2,7
Ávila;Hogar unipersonal;7 o más habitaciones;2017;2,1
Ávila;Hogar unipersonal;7 o más habitaciones;2016;1,6
Ávila;Hogar unipersonal;7 o más habitaciones;2015;3,0
Ávila;Hogar unipersonal;7 o más habitaciones;2014;3,6
Ávila;Hogar monoparental;Total;2019;4,5
Ávila;Hogar monoparental;Total;2018;4,6
Ávila;Hogar monoparental;Total;2017;5,8
Ávila;Hogar monoparental;Total;2016;5,2
Ávila;Hogar monoparental;Total;2015;4,6
Ávila;Hogar monoparental;Total;2014;4,8
Ávila;Hogar monoparental;Menos de 3 habitaciones;2019;..
Ávila;Hogar monoparental;Menos de 3 habitaciones;2018;..
Ávila;Hogar monoparental;Menos de 3 habitaciones;2017;..
Ávila;Hogar monoparental;Menos de 3 habitaciones;2016;..
Ávila;Hogar monoparental;Menos de 3 habitaciones;2015;..
Ávila;Hogar monoparental;Menos de 3 habitaciones;2014;..
Ávila;Hogar monoparental;Entre 3 y 6 habitaciones;2019;4,2
Ávila;Hogar monoparental;Entre 3 y 6 habitaciones;2018;4,1
Ávila;Hogar monoparental;Entre 3 y 6 habitaciones;2017;5,3
Ávila;Hogar monoparental;Entre 3 y 6 habitaciones;2016;4,4
Ávila;Hogar monoparental;Entre 3 y 6 habitaciones;2015;3,2
Ávila;Hogar monoparental;Entre 3 y 6 habitaciones;2014;3,5
Ávila;Hogar monoparental;7 o más habitaciones;2019;0,3
Ávila;Hogar monoparental;7 o más habitaciones;2018;0,5
Ávila;Hogar monoparental;7 o más habitaciones;2017;0,5
Ávila;Hogar monoparental;7 o más habitaciones;2016;0,8
Ávila;Hogar monoparental;7 o más habitaciones;2015;1,4
Ávila;Hogar monoparental;7 o más habitaciones;2014;1,3
Ávila;Pareja sin hijos que convivan en el hogar;Total;2019;16,6
Ávila;Pareja sin hijos que convivan en el hogar;Total;2018;17,0
Ávila;Pareja sin hijos que convivan en el hogar;Total;2017;16,2
Ávila;Pareja sin hijos que convivan en el hogar;Total;2016;16,6
Ávila;Pareja sin hijos que convivan en el hogar;Total;2015;16,7
Ávila;Pareja sin hijos que convivan en el hogar;Total;2014;17,1
Ávila;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2019;0,2
Ávila;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2018;..
Ávila;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2017;..
Ávila;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2016;..
Ávila;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2015;..
Ávila;Pareja sin hijos que convivan en el hogar;Menos de 3 habitaciones;2014;..
Ávila;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2019;12,1
Ávila;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2018;14,5
Ávila;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2017;13,6
Ávila;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2016;12,8
Ávila;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2015;12,9
Ávila;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2014;13,2
Ávila;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2019;4,3
Ávila;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2018;2,5
Ávila;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2017;2,7
Ávila;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2016;3,7
Ávila;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2015;3,8
Ávila;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2014;3,8
Ávila;Pareja con hijos que convivan en el hogar: Total;Total;2019;22,2
Ávila;Pareja con hijos que convivan en el hogar: Total;Total;2018;21,7
Ávila;Pareja con hijos que convivan en el hogar: Total;Total;2017;22,1
Ávila;Pareja con hijos que convivan en el hogar: Total;Total;2016;22,5
Ávila;Pareja con hijos que convivan en el hogar: Total;Total;2015;22,8
Ávila;Pareja con hijos que convivan en el hogar: Total;Total;2014;23,1
Ávila;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2019;..
Ávila;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2018;..
Ávila;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2017;..
Ávila;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2016;..
Ávila;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2015;..
Ávila;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2014;..
Ávila;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2019;16,3
Ávila;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2018;18,1
Ávila;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2017;19,6
Ávila;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2016;18,6
Ávila;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2015;17,5
Ávila;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2014;15,6
Ávila;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2019;5,9
Ávila;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2018;3,6
Ávila;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2017;2,5
Ávila;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2016;3,8
Ávila;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2015;5,3
Ávila;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2014;7,4
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2019;10,1
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2018;10,0
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2017;10,2
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2016;10,3
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2015;10,3
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2014;10,3
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2019;..
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2018;..
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2017;..
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2016;..
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2015;..
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2014;..
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2019;8,3
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2018;8,9
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2017;9,0
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2016;8,4
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2015;8,3
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2014;7,5
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2019;1,8
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2018;1,1
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2017;1,1
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2016;1,9
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2015;2,0
Ávila;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2014;2,9
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2019;9,7
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2018;10,1
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2017;10,3
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2016;10,4
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2015;10,3
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2014;10,2
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2019;..
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2018;..
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2017;..
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2016;..
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2015;..
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2014;..
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2019;6,9
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2018;8,3
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2017;9,3
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2016;8,7
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2015;7,4
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2014;6,2
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2019;2,9
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2018;1,8
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2017;1,0
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2016;1,7
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2015;2,9
Ávila;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2014;4,0
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2019;2,4
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2018;1,6
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2017;1,6
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2016;1,7
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2015;2,3
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2014;2,6
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2019;..
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2018;..
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2017;..
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2016;..
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2015;..
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2014;..
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2019;1,2
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2018;0,9
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2017;1,3
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2016;1,5
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2015;1,8
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2014;2,0
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2019;1,3
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2018;0,6
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2017;0,4
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2016;0,2
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2015;0,5
Ávila;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2014;0,6
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2019;1,5
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2018;1,6
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2017;1,5
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2016;1,9
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2015;1,9
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2014;1,7
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2019;..
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2018;..
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2017;..
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2016;..
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2015;..
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Menos de 3 habitaciones;2014;..
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2019;1,5
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2018;1,3
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2017;1,1
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2016;1,5
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2015;1,3
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;Entre 3 y 6 habitaciones;2014;1,4
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2019;0,0
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2018;0,4
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2017;0,4
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2016;0,4
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2015;0,6
Ávila;Núcleo familiar con otras personas que no forman núcleo familiar;7 o más habitaciones;2014;0,3
Ávila;Personas que no forman ningún núcleo familiar entre sí;Total;2019;1,4
Ávila;Personas que no forman ningún núcleo familiar entre sí;Total;2018;1,4
Ávila;Personas que no forman ningún núcleo familiar entre sí;Total;2017;1,3
Ávila;Personas que no forman ningún núcleo familiar entre sí;Total;2016;1,4
Ávila;Personas que no forman ningún núcleo familiar entre sí;Total;2015;1,7
Ávila;Personas que no forman ningún núcleo familiar entre sí;Total;2014;1,7
Ávila;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2019;..
Ávila;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2018;..
Ávila;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2017;..
Ávila;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2016;..
Ávila;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2015;..
Ávila;Personas que no forman ningún núcleo familiar entre sí;Menos de 3 habitaciones;2014;..
Ávila;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2019;1,4
Ávila;Personas que no forman ningún núcleo familiar entre sí;Entre 3 y 6 habitaciones;2018;1,4
