Provincias;Tipo de hogar;Número de habitaciones de la vivienda;periodo;Total
Total;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2019;3.213,1
Total;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2018;3.240,4
Total;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2017;3.222,0
Total;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2016;3.199,6
Total;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2015;3.253,8
Total;Pareja sin hijos que convivan en el hogar;Entre 3 y 6 habitaciones;2014;3.265,5
Total;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2019;645,9
Total;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2018;615,7
Total;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2017;609,3
Total;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2016;612,6
Total;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2015;612,4
Total;Pareja sin hijos que convivan en el hogar;7 o más habitaciones;2014;632,2
Total;Pareja con hijos que convivan en el hogar: Total;Total;2019;6.244,2
Total;Pareja con hijos que convivan en el hogar: Total;Total;2018;6.329,5
Total;Pareja con hijos que convivan en el hogar: Total;Total;2017;6.288,3
Total;Pareja con hijos que convivan en el hogar: Total;Total;2016;6.234,3
Total;Pareja con hijos que convivan en el hogar: Total;Total;2015;6.288,9
Total;Pareja con hijos que convivan en el hogar: Total;Total;2014;6.328,3
Total;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2019;13,9
Total;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2018;11,4
Total;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2017;12,3
Total;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2016;14,3
Total;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2015;15,6
Total;Pareja con hijos que convivan en el hogar: Total;Menos de 3 habitaciones;2014;17,6
Total;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2019;5.064,0
Total;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2018;5.165,0
Total;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2017;5.141,8
Total;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2016;5.026,1
Total;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2015;5.022,7
Total;Pareja con hijos que convivan en el hogar: Total;Entre 3 y 6 habitaciones;2014;5.049,0
Total;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2019;1.166,3
Total;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2018;1.153,2
Total;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2017;1.134,2
Total;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2016;1.193,9
Total;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2015;1.250,6
Total;Pareja con hijos que convivan en el hogar: Total;7 o más habitaciones;2014;1.261,6
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2019;2.926,8
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2018;2.954,4
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2017;2.922,1
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2016;2.891,9
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2015;2.925,1
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Total;2014;2.954,9
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2019;11,7
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2018;8,2
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2017;7,8
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2016;9,1
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2015;9,9
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Menos de 3 habitaciones;2014;10,7
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2019;2.424,6
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2018;2.464,7
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2017;2.458,5
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2016;2.408,4
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2015;2.407,0
Total;Pareja con hijos que convivan en el hogar: 1 hijo;Entre 3 y 6 habitaciones;2014;2.430,5
Total;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2019;490,4
Total;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2018;481,6
Total;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2017;455,8
Total;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2016;474,4
Total;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2015;508,1
Total;Pareja con hijos que convivan en el hogar: 1 hijo;7 o más habitaciones;2014;513,7
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2019;2.765,8
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2018;2.785,4
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2017;2.783,0
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2016;2.777,5
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2015;2.785,4
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Total;2014;2.785,3
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2019;2,0
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2018;3,1
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2017;3,8
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2016;4,4
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2015;4,9
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Menos de 3 habitaciones;2014;6,0
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2019;2.215,8
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2018;2.245,7
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2017;2.242,5
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2016;2.203,1
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2015;2.196,1
Total;Pareja con hijos que convivan en el hogar: 2 hijos;Entre 3 y 6 habitaciones;2014;2.191,1
Total;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2019;548,0
Total;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2018;536,6
Total;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2017;536,6
Total;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2016;570,0
Total;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2015;584,4
Total;Pareja con hijos que convivan en el hogar: 2 hijos;7 o más habitaciones;2014;588,2
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2019;551,6
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2018;589,8
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2017;583,2
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2016;564,9
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2015;578,3
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Total;2014;588,0
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2019;0,2
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2018;0,1
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2017;0,7
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2016;0,8
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2015;0,7
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Menos de 3 habitaciones;2014;0,8
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2019;423,6
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2018;454,6
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2017;440,8
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2016;414,7
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2015;419,6
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;Entre 3 y 6 habitaciones;2014;427,5
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2019;127,8
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2018;135,0
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2017;141,7
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2016;149,4
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2015;158,1
Total;Pareja con hijos que convivan en el hogar: 3 o más hijos;7 o más habitaciones;2014;159,7
Total;Núcleo familiar con otras personas que no forman núcleo familiar;Total;2019;803,6
