Nivel de ingresos mensuales netos regulares del hogar;Distribución porcentual de hogares y personas;Periodo;Total
De 1.500 a 1.999 euros;Hogares;2006;18,83
De 1.500 a 1.999 euros;Personas;2019;15,98
De 1.500 a 1.999 euros;Personas;2018;15,99
De 1.500 a 1.999 euros;Personas;2017;17,00
De 1.500 a 1.999 euros;Personas;2016;16,78
De 1.500 a 1.999 euros;Personas;2015;16,89
De 1.500 a 1.999 euros;Personas;2014;17,23
De 1.500 a 1.999 euros;Personas;2013;17,00
De 1.500 a 1.999 euros;Personas;2012;17,15
De 1.500 a 1.999 euros;Personas;2011;17,16
De 1.500 a 1.999 euros;Personas;2010;19,55
De 1.500 a 1.999 euros;Personas;2009;17,35
De 1.500 a 1.999 euros;Personas;2008;16,44
De 1.500 a 1.999 euros;Personas;2007;18,02
De 1.500 a 1.999 euros;Personas;2006;20,24
De 2.000 a 2.499 euros;Hogares;2019;16,57
De 2.000 a 2.499 euros;Hogares;2018;14,21
De 2.000 a 2.499 euros;Hogares;2017;14,07
De 2.000 a 2.499 euros;Hogares;2016;12,99
De 2.000 a 2.499 euros;Hogares;2015;13,43
De 2.000 a 2.499 euros;Hogares;2014;12,77
De 2.000 a 2.499 euros;Hogares;2013;12,27
De 2.000 a 2.499 euros;Hogares;2012;12,91
De 2.000 a 2.499 euros;Hogares;2011;12,70
De 2.000 a 2.499 euros;Hogares;2010;12,85
De 2.000 a 2.499 euros;Hogares;2009;15,23
De 2.000 a 2.499 euros;Hogares;2008;15,32
De 2.000 a 2.499 euros;Hogares;2007;15,16
De 2.000 a 2.499 euros;Hogares;2006;12,66
De 2.000 a 2.499 euros;Personas;2019;17,70
De 2.000 a 2.499 euros;Personas;2018;15,39
De 2.000 a 2.499 euros;Personas;2017;15,15
De 2.000 a 2.499 euros;Personas;2016;14,14
De 2.000 a 2.499 euros;Personas;2015;14,68
De 2.000 a 2.499 euros;Personas;2014;13,99
De 2.000 a 2.499 euros;Personas;2013;13,42
De 2.000 a 2.499 euros;Personas;2012;14,05
De 2.000 a 2.499 euros;Personas;2011;14,16
De 2.000 a 2.499 euros;Personas;2010;14,57
De 2.000 a 2.499 euros;Personas;2009;16,82
De 2.000 a 2.499 euros;Personas;2008;17,08
De 2.000 a 2.499 euros;Personas;2007;17,20
De 2.000 a 2.499 euros;Personas;2006;14,66
De 2.500 a 2.999 euros;Hogares;2019;11,23
De 2.500 a 2.999 euros;Hogares;2018;11,80
De 2.500 a 2.999 euros;Hogares;2017;10,10
De 2.500 a 2.999 euros;Hogares;2016;10,40
De 2.500 a 2.999 euros;Hogares;2015;9,78
De 2.500 a 2.999 euros;Hogares;2014;9,63
De 2.500 a 2.999 euros;Hogares;2013;10,05
De 2.500 a 2.999 euros;Hogares;2012;10,59
De 2.500 a 2.999 euros;Hogares;2011;10,95
De 2.500 a 2.999 euros;Hogares;2010;9,31
De 2.500 a 2.999 euros;Hogares;2009;10,04
De 2.500 a 2.999 euros;Hogares;2008;10,81
De 2.500 a 2.999 euros;Hogares;2007;9,82
De 2.500 a 2.999 euros;Hogares;2006;8,33
De 2.500 a 2.999 euros;Personas;2019;13,35
De 2.500 a 2.999 euros;Personas;2018;13,78
De 2.500 a 2.999 euros;Personas;2017;11,81
De 2.500 a 2.999 euros;Personas;2016;12,22
De 2.500 a 2.999 euros;Personas;2015;11,58
De 2.500 a 2.999 euros;Personas;2014;11,38
De 2.500 a 2.999 euros;Personas;2013;11,87
De 2.500 a 2.999 euros;Personas;2012;12,51
De 2.500 a 2.999 euros;Personas;2011;12,67
De 2.500 a 2.999 euros;Personas;2010;10,94
De 2.500 a 2.999 euros;Personas;2009;11,86
De 2.500 a 2.999 euros;Personas;2008;13,05
De 2.500 a 2.999 euros;Personas;2007;12,01
De 2.500 a 2.999 euros;Personas;2006;10,36
De 3.000 a 4.999 euros;Hogares;2019;15,65
De 3.000 a 4.999 euros;Hogares;2018;15,04
De 3.000 a 4.999 euros;Hogares;2017;14,40
De 3.000 a 4.999 euros;Hogares;2016;12,72
De 3.000 a 4.999 euros;Hogares;2015;11,49
De 3.000 a 4.999 euros;Hogares;2014;10,99
De 3.000 a 4.999 euros;Hogares;2013;10,77
De 3.000 a 4.999 euros;Hogares;2012;11,69
De 3.000 a 4.999 euros;Hogares;2011;12,55
De 3.000 a 4.999 euros;Hogares;2010;12,16
De 3.000 a 4.999 euros;Hogares;2009;13,08
De 3.000 a 4.999 euros;Hogares;2008;13,50
De 3.000 a 4.999 euros;Hogares;2007;12,21
De 3.000 a 4.999 euros;Hogares;2006;10,47
De 3.000 a 4.999 euros;Personas;2019;19,47
De 3.000 a 4.999 euros;Personas;2018;19,18
De 3.000 a 4.999 euros;Personas;2017;18,32
De 3.000 a 4.999 euros;Personas;2016;16,36
De 3.000 a 4.999 euros;Personas;2015;14,70
De 3.000 a 4.999 euros;Personas;2014;14,00
De 3.000 a 4.999 euros;Personas;2013;13,63
De 3.000 a 4.999 euros;Personas;2012;14,82
De 3.000 a 4.999 euros;Personas;2011;15,94
De 3.000 a 4.999 euros;Personas;2010;15,53
De 3.000 a 4.999 euros;Personas;2009;16,71
De 3.000 a 4.999 euros;Personas;2008;17,60
De 3.000 a 4.999 euros;Personas;2007;16,12
De 3.000 a 4.999 euros;Personas;2006;13,90
5.000 euros o más;Hogares;2019;4,03
5.000 euros o más;Hogares;2018;3,85
5.000 euros o más;Hogares;2017;3,39
5.000 euros o más;Hogares;2016;2,92
5.000 euros o más;Hogares;2015;2,65
5.000 euros o más;Hogares;2014;2,37
5.000 euros o más;Hogares;2013;2,47
5.000 euros o más;Hogares;2012;2,30
5.000 euros o más;Hogares;2011;2,85
5.000 euros o más;Hogares;2010;2,96
5.000 euros o más;Hogares;2009;3,42
5.000 euros o más;Hogares;2008;3,34
5.000 euros o más;Hogares;2007;2,84
5.000 euros o más;Hogares;2006;2,23
5.000 euros o más;Personas;2019;5,64
5.000 euros o más;Personas;2018;5,22
5.000 euros o más;Personas;2017;4,68
5.000 euros o más;Personas;2016;4,14
5.000 euros o más;Personas;2015;3,64
5.000 euros o más;Personas;2014;3,31
5.000 euros o más;Personas;2013;3,40
5.000 euros o más;Personas;2012;3,20
5.000 euros o más;Personas;2011;3,91
5.000 euros o más;Personas;2010;3,98
5.000 euros o más;Personas;2009;4,61
5.000 euros o más;Personas;2008;4,59
5.000 euros o más;Personas;2007;4,03
5.000 euros o más;Personas;2006;3,20
